WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
EUR,Central Asia,Uzbekistan,2015,0.0,0.99,0.0,0.99
AMR,South America,Venezuela (Bolivarian Republic of),2015,0.0,0.92,0.0,0.89
AMR,Caribbean,Antigua and Barbuda,2014,0.0,0.98,0.0,0.98
AMR,South America,Argentina,2014,4.65332388088e-08,0.95,0.0,0.94
EUR,Western Asia,Armenia,2014,0.0,0.97,1.33681350449e-06,0.97
WPR,Australia/New Zealand,Australia,2014,7.19657443057e-07,0.93,1.11729586897e-06,0.94
EUR,Western Asia,Azerbaijan,2014,0.0,0.98,0.0,0.98
AMR,Caribbean,Bahamas,2014,0.0,0.92,0.0,0.92
EMR,Western Asia,Bahrain,2014,5.87401701996e-06,0.99,1.4821072601e-06,0.99
SEAR,Southern Asia,Bangladesh,2014,2.39505886156e-06,0.88,1.93054873207e-05,0.88
AMR,Caribbean,Barbados,2014,0.0,0.95,0.0,0.87
EUR,Eastern Europe,Belarus,2014,1.05258504361e-07,0.99,1.05293194164e-07,0.99
AMR,Central America,Belize,2014,0.0,0.95,0.0,0.99
SEAR,Southern Asia,Bhutan,2014,0.0,0.97,7.95081098272e-06,0.94
AMR,South America,Bolivia (Plurinational State of),2014,0.0,0.99,0.0,0.95
AMR,South America,Brazil,2014,4.85253392043e-09,0.99,0.0,0.99
EUR,Eastern Europe,Bulgaria,2014,9.72045363969e-07,0.93,1.37882727982e-06,0.95
AFR,Western Africa,Cabo Verde,2014,0.0,0.79,5.91412687774e-06,0.89
WPR,South-Eastern Asia,Cambodia,2014,1.89194514142e-06,0.8,6.89721034369e-06,0.76
AMR,NORTHERN AMERICA,Canada,2014,2.80995251461e-08,0.9,5.67688155272e-08,0.9
AMR,South America,Chile,2014,0.0,0.97,0.0,0.9
WPR,Eastern Asia,China,2014,8.61157647515e-06,0.99,1.29026172541e-05,0.96
AMR,South America,Colombia,2014,0.0,0.91,0.0,0.92
AMR,Central America,Costa Rica,2014,0.0,0.95,0.0,0.91
EUR,Western Asia,Cyprus,2014,0.0,0.86,0.000195331318705,0.86
EUR,Eastern Europe,Czech Republic,2014,9.4852632208e-08,0.99,0.0,0.99
AMR,Caribbean,Dominica,2014,0.0,0.94,0.0,0.93
AMR,Caribbean,Dominican Republic,2014,0.0,0.88,0.0,0.83
AMR,South America,Ecuador,2014,0.0,0.85,0.0,0.97
EMR,Northern Africa,Egypt,2014,2.34428191129e-07,0.93,3.88066232862e-07,0.96
AMR,Central America,El Salvador,2014,0.0,0.95,0.0,0.94
EUR,Northern Europe,Estonia,2014,0.0,0.93,1.51509412522e-06,0.94
EUR,Western Asia,Georgia,2014,3.69289947135e-05,0.92,5.48652494777e-05,0.97
AFR,Western Africa,Ghana,2014,9.70634571017e-07,0.92,6.42093101206e-06,0.89
EUR,Southern Europe,Greece,2014,0.0,0.97,0.0,0.99
AMR,Caribbean,Grenada,2014,0.0,0.94,0.0,0.94
AMR,Central America,Guatemala,2014,0.0,0.67,0.0,0.85
AMR,South America,Guyana,2014,0.0,0.99,0.0,0.99
AMR,Caribbean,Haiti,2014,0.0,0.53,0.0,0.65
AMR,Central America,Honduras,2014,0.0,0.88,0.0,0.89
EUR,Eastern Europe,Hungary,2014,0.0,0.99,0.0,0.99
EUR,Northern Europe,Iceland,2014,0.0,0.9,0.0,0.91
EMR,Southern Asia,Iran (Islamic Republic of),2014,1.79157254512e-07,0.99,4.14763238238e-07,0.98
EMR,Western Asia,Iraq,2014,2.26800505425e-07,0.6,8.79575294137e-07,0.57
EUR,Northern Europe,Ireland,2014,6.41689268389e-07,0.93,0.0,0.92
EUR,Western Asia,Israel,2014,0.0,0.96,1.27912896434e-07,0.96
AMR,Caribbean,Jamaica,2014,0.0,0.92,0.0,0.94
WPR,Eastern Asia,Japan,2014,2.5237675812e-06,0.98,0.000113076383219,0.95
EMR,Western Asia,Jordan,2014,1.34842126838e-07,0.98,1.38603404377e-07,0.98
EUR,Central Asia,Kazakhstan,2014,8.74990357837e-06,0.99,2.10531856101e-06,0.99
WPR,Micronesia,Kiribati,2014,0.0,0.88,0.0,0.91
EMR,Western Asia,Kuwait,2014,3.19733981328e-06,0.94,1.11306206156e-06,0.99
EUR,Central Asia,Kyrgyzstan,2014,4.1070432369e-06,0.96,2.08851837026e-06,0.99
WPR,South-Eastern Asia,Lao People's Democratic Republic,2014,2.98984946108e-07,0.87,1.26140009331e-05,0.82
EUR,Northern Europe,Latvia,2014,5.02676753714e-07,0.95,0.0,0.96
EMR,Western Asia,Lebanon,2014,3.20735553536e-06,0.75,5.10687555679e-06,0.75
EUR,Northern Europe,Lithuania,2014,0.0,0.93,6.74807089523e-07,0.93
WPR,South-Eastern Asia,Malaysia,2014,7.69179319109e-06,0.94,3.86216090278e-05,0.95
SEAR,Southern Asia,Maldives,2014,0.0,0.97,0.0,0.99
AFR,Eastern Africa,Mauritius,2014,4.72973505601e-06,0.98,7.91414732977e-06,0.99
AMR,Central America,Mexico,2014,0.0,0.97,0.0,0.89
WPR,Eastern Asia,Mongolia,2014,3.43657964101e-07,0.98,2.79801480849e-06,0.97
SEAR,Southern Asia,Nepal,2014,2.49869386457e-05,0.88,2.71241437932e-05,0.88
EUR,Western Europe,Netherlands,2014,1.18567561575e-07,0.96,3.45049960855e-06,0.96
WPR,Australia/New Zealand,New Zealand,2014,8.89782626104e-07,0.93,2.23950121829e-07,0.92
AMR,Central America,Nicaragua,2014,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2014,5.82753978753e-07,0.94,5.90150389991e-07,0.93
WPR,Micronesia,Palau,2014,0.0,0.83,0.0,0.99
