"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"countryVal[132]",0.000325926101966667,0.000203494060920345,-2.598175e-05,0.0001637,0.00035085,0.0004622,0.0007375025,2.37774362682834,4
"countryVal[133]",0.000340089775606667,0.000202502162519679,-3.6854e-06,0.00017365,0.0003544,0.0005047,0.000747505,2.80854527099822,4
"countryVal[134]",0.00031765120161,0.000195644878832522,-1.6835e-05,0.0001528,0.0003572,0.0004343,0.0007235275,2.6140305994277,4
"countryVal[135]",0.000319590870605467,0.000198492471745748,-2.866e-05,0.000139975,0.00035095,0.0004873,0.0006733,2.98945797616315,4
"vaxFactor",-0.00133475561333333,0.000393058986181801,-0.002102025,-0.00161325,-0.001313,-0.001057,-0.0005879875,1.68998391930493,6
"ar1Factor",0.0916970758533333,0.0258406914364073,0.04108975,0.0741275,0.09183,0.1093,0.1415,1.00314677883375,890
"arVaxFactor",0.00103498241333333,0.000294825725637948,0.000449772467161716,0.000823374998861347,0.001049,0.001247,0.001593,1.1936208084756,15
"mu.region",0.000339510288566667,0.000180919121033168,4.41294998894979e-05,0.0001699,0.0003671,0.000468524997999182,0.000704509997233113,3.17642868745389,4
"sigma.region",8.48834527333333e-05,2.99205192019566e-05,3.73677473541464e-05,6.368e-05,8.053e-05,0.0001028,0.000153204996820617,1.02197079994946,400
"sigma.country",3.26556454466667e-05,2.76060273707038e-05,8.36277488187403e-07,8.88724618915923e-06,2.60599980813507e-05,5.066e-05,9.60307498858014e-05,1.19892910604219,16
"sigma.diseaseRate",0.000640517606666667,1.18273242555206e-05,0.0006178,0.0006322,0.0006404,0.0006485,0.000664,1.00500015969974,490
"deviance",-18184.5086666667,10.5738377749949,-18210,-18190,-18180,-18180,-18170,1.14182641379694,19
